customer_id,first_name,last_name,email,signup_date,country,segment
63,First63,Last63,customer63@example.com,2023-09-11,UK,new
64,First64,Last64,customer64@example.com,2023-12-13,US,active
65,First65,Last65,customer65@example.com,2024-08-25,UK,new
66,First66,Last66,customer66@example.com,2023-03-14,US,active
67,First67,Last67,customer67@example.com,2023-03-11,US,churn_risk
68,First68,Last68,customer68@example.com,2023-03-14,FR,active
69,First69,Last69,customer69@example.com,2023-10-13,IN,active
70,First70,Last70,customer70@example.com,2024-07-06,UK,vip
71,First71,Last71,customer71@example.com,2023-09-06,IN,vip
72,First72,Last72,customer72@example.com,2023-07-14,US,new
73,First73,Last73,customer73@example.com,2024-11-05,IN,churn_risk
74,First74,Last74,customer74@example.com,2024-03-09,IN,vip
75,First75,Last75,customer75@example.com,2023-02-25,US,new
76,First76,Last76,customer76@example.com,2024-02-17,DE,new
77,First77,Last77,customer77@example.com,2023-09-12,UK,active
78,First78,Last78,customer78@example.com,2024-07-03,IN,active
79,First79,Last79,customer79@example.com,2024-03-08,UK,churn_risk
80,First80,Last80,customer80@example.com,2024-04-18,UK,new
81,First81,Last81,customer81@example.com,2024-03-29,FR,new
82,First82,Last82,customer82@example.com,2023-02-21,FR,new
83,First83,Last83,customer83@example.com,2023-04-06,UK,active
84,First84,Last84,customer84@example.com,2024-02-21,IN,vip
85,First85,Last85,customer85@example.com,2023-08-07,IN,new
86,First86,Last86,customer86@example.com,2023-06-18,IN,new
87,First87,Last87,customer87@example.com,2024-02-04,DE,vip
88,First88,Last88,customer88@example.com,2023-10-20,IN,vip
89,First89,Last89,customer89@example.com,2023-06-08,UK,churn_risk
90,First90,Last90,customer90@example.com,2023-08-11,US,new
91,First91,Last91,customer91@example.com,2023-11-18,US,new
92,First92,Last92,customer92@example.com,2024-08-21,IN,active
93,First93,Last93,customer93@example.com,2023-02-28,FR,new
94,First94,Last94,customer94@example.com,2023-07-10,US,new
95,First95,Last95,customer95@example.com,2024-11-22,UK,vip
96,First96,Last96,customer96@example.com,2023-05-03,FR,active
97,First97,Last97,customer97@example.com,2024-08-15,FR,new
98,First98,Last98,customer98@example.com,2024-09-26,US,vip
99,First99,Last99,customer99@example.com,2024-11-04,FR,churn_risk
100,First100,Last100,customer100@example.com,2023-09-25,UK,churn_risk
